,@context,@id,@type,dc:date,dct:valid,odpt:carComposition,odpt:delay,odpt:destinationStation,odpt:frequency,odpt:fromStation,odpt:index,odpt:operator,odpt:originStation,odpt:railDirection,odpt:railway,odpt:toStation,odpt:trainNumber,odpt:trainOwner,odpt:trainType,owl:sameAs
30,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC99A,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Tobu.Tojo.Kawagoeshi'],30.0,odpt.Station:TokyoMetro.Yurakucho.KotakeMukaihara,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Yurakucho,,B1429S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1429S
31,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC998,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],30.0,odpt.Station:TokyoMetro.Yurakucho.ChikatetsuNarimasu,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Yurakucho,odpt.Station:TokyoMetro.Yurakucho.Wakoshi,B1473S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1473S
32,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFDD4,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Asakusa,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,,A1553,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1553
33,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFBE5,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Asakusa,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,,A1503,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1503
34,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFFC6,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Inaricho,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,,A1529,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1529
35,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFFC8,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Ueno,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,,A1537,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1537
36,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFF2C,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Suehirocho,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,,A1521,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1521
37,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFBD4,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Kanda,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,odpt.Station:TokyoMetro.Ginza.Mitsukoshimae,A1407,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1407
38,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFBE4,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Nihombashi,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,odpt.Station:TokyoMetro.Ginza.Kyobashi,A1427,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1427
39,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030FFDCA,odpt:Train,2018-09-17T15:11:43+09:00,2018-09-17T15:12:13+09:00,,0.0,['odpt.Station:TokyoMetro.Ginza.Shibuya'],30.0,odpt.Station:TokyoMetro.Ginza.Ginza,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Ginza.Asakusa'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Ginza,,A1415,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Ginza.A1415
